run_dir,run_id,run_status,control_name,selection_split,paper_mode,task_name,dataset,dataset_subset,student_model,student_type,seed,policy_name,policy_family,action_space_id,same_count_config_hash,experiment,metric,mode,best_cycle,best_metric,seed_baseline_cycle,seed_baseline_metric,final_cycle,final_metric,heldout_split,heldout_metric_name,heldout_metric,canonical_label_count,observed_gold_label_count,heldout_canonical_label_count,heldout_observed_gold_label_count,final_teacher_fidelity,heldout_teacher_fidelity,cycle_quality_cost_auc,online_acquisition_quality_cost_auc,total_teacher_quality_cost_auc,token_budget,synthetic_record_budget,final_synthetic_count,token_budget_overage,teacher_input_tokens,teacher_output_tokens,teacher_total_tokens,estimated_cost,seed_materialization_manifest_count,seed_usage_estimated_records,seed_teacher_input_tokens,seed_teacher_output_tokens,seed_teacher_total_tokens,online_teacher_input_tokens,online_teacher_output_tokens,online_teacher_total_tokens,total_teacher_input_tokens,total_teacher_output_tokens,total_teacher_total_tokens,cycles_completed,expected_cycles,policy_decision_count,policy_stop_count,teacher_attempt_count,teacher_success_count,teacher_failure_count,teacher_masked_count,teacher_budget_violation_count,max_realized_over_predicted
out/g3/ablation_g3_agnews_roberta_base_transformers_20260922_174945/g3_agnews_roberta_base_transformers_cycles-10_20260922_180140_490330_s13_dffec708_0e823e,g3_agnews_roberta_base_transformers_cycles-10_20260922_180140_490330_s13_dffec708_0e823e,completed,,validation,False,g3_agnews_roberta_base_transformers_cycles-10,SetFit/ag_news,default,FacebookAI/roberta-base,transformers,13,fixed_promptillery,fixed_promptillery,42aa62de56d4,518151207da8503ed449ec2be0006733e5e57912f24622716684afaf5590eddc,g3_agnews_roberta_base_transformers_cycles-10,accuracy,max,7,0.89,0,0.86,9,0.87,test,accuracy,0.8868421052631579,,,,,,,0.8700057571250001,0.8700057571250001,0.8700057571250001,20000000,,288,0,15040,10449,25489,0.113672,0,0,0,0,0,15040,10449,25489,15040,10449,25489,10,10,10,0,9,9,0,0,0,0.564268250087321
out/g3/ablation_g3_agnews_roberta_base_transformers_20260922_174945/g3_agnews_roberta_base_transformers_cycles-1_20260922_174945_317158_s13_bb31514c_7d0f0f,g3_agnews_roberta_base_transformers_cycles-1_20260922_174945_317158_s13_bb31514c_7d0f0f,completed,,validation,False,g3_agnews_roberta_base_transformers_cycles-1,SetFit/ag_news,default,FacebookAI/roberta-base,transformers,13,fixed_promptillery,fixed_promptillery,42aa62de56d4,a941c349d13fcfae5dc8eb0172fefba9d7c9de071200327af74dc3244c4a1524,g3_agnews_roberta_base_transformers_cycles-1,accuracy,max,0,0.86,0,0.86,0,0.86,test,accuracy,0.8892105263157895,,,,,,,0.86,0.86,0.86,20000000,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,
out/g3/ablation_g3_agnews_roberta_base_transformers_20260922_174945/g3_agnews_roberta_base_transformers_cycles-5_20260922_175833_052011_s13_3a80430a_58a0c0,g3_agnews_roberta_base_transformers_cycles-5_20260922_175833_052011_s13_3a80430a_58a0c0,completed,,validation,False,g3_agnews_roberta_base_transformers_cycles-5,SetFit/ag_news,default,FacebookAI/roberta-base,transformers,13,fixed_promptillery,fixed_promptillery,42aa62de56d4,e38c4f589da9c9d0818b5982d9639ff5558efe86042e5a20ee67a918a1ab5ba4,g3_agnews_roberta_base_transformers_cycles-5,accuracy,max,3,0.885,0,0.86,4,0.855,test,accuracy,0.8928947368421053,,,,,,,0.855009682625,0.855009682625,0.855009682625,20000000,,128,0,7044,4467,11511,0.04982399999999999,0,0,0,0,0,7044,4467,11511,7044,4467,11511,5,5,5,0,4,4,0,0,0,0.5167514471145414
out/g3/ablation_g3_sst2_roberta_base_transformers_20260922_174933/g3_sst2_roberta_base_transformers_cycles-10_20260922_175944_457610_s13_9a0cb828_e0cff0,g3_sst2_roberta_base_transformers_cycles-10_20260922_175944_457610_s13_9a0cb828_e0cff0,completed,,validation,False,g3_sst2_roberta_base_transformers_cycles-10,SetFit/sst2,default,FacebookAI/roberta-base,transformers,13,fixed_promptillery,fixed_promptillery,42aa62de56d4,96fb4024dcdf5d6028367904b3312bd5128268e54a926ccc7b2f2c19fffaaeae,g3_sst2_roberta_base_transformers_cycles-10,accuracy,max,6,0.92,0,0.86,9,0.89,test,accuracy,0.914881933003844,,,,,,,0.8900092165000001,0.8900092165000001,0.8900092165000001,20000000,,288,0,7525,6943,14468,0.07059399999999999,0,0,0,0,0,7525,6943,14468,7525,6943,14468,10,10,10,0,9,9,0,0,0,0.3825978351373855
out/g3/ablation_g3_sst2_roberta_base_transformers_20260922_174933/g3_sst2_roberta_base_transformers_cycles-1_20260922_174933_335010_s13_2bfd162d_658b30,g3_sst2_roberta_base_transformers_cycles-1_20260922_174933_335010_s13_2bfd162d_658b30,completed,,validation,False,g3_sst2_roberta_base_transformers_cycles-1,SetFit/sst2,default,FacebookAI/roberta-base,transformers,13,fixed_promptillery,fixed_promptillery,42aa62de56d4,c71508a4d06013ab462421960be14ecdf18b6f08adc19cae65a89e593b2536e8,g3_sst2_roberta_base_transformers_cycles-1,accuracy,max,0,0.86,0,0.86,0,0.86,test,accuracy,0.8973091707852828,,,,,,,0.86,0.86,0.86,20000000,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,
out/g3/ablation_g3_sst2_roberta_base_transformers_20260922_174933/g3_sst2_roberta_base_transformers_cycles-5_20260922_175807_803730_s13_654ea578_a64bc5,g3_sst2_roberta_base_transformers_cycles-5_20260922_175807_803730_s13_654ea578_a64bc5,completed,,validation,False,g3_sst2_roberta_base_transformers_cycles-5,SetFit/sst2,default,FacebookAI/roberta-base,transformers,13,fixed_promptillery,fixed_promptillery,42aa62de56d4,32b4d43aabe8bd8202241a3474782dfe22d6cc67f687c8f0e00ab58944a7ed39,g3_sst2_roberta_base_transformers_cycles-5,accuracy,max,4,0.92,0,0.86,4,0.92,test,accuracy,0.9187259747391543,,,,,,,0.9199901235000001,0.9199901235000001,0.9199901235000001,20000000,,128,0,3694,3466,7160,0.035115999999999994,0,0,0,0,0,3694,3466,7160,3694,3466,7160,5,5,5,0,4,4,0,0,0,0.47526537152012815
out/g3/ablation_g3_imdb_roberta_base_transformers_20260922_180433/g3_imdb_roberta_base_transformers_cycles-10_20260922_181421_566264_s13_3c77a5d6_5539a8,g3_imdb_roberta_base_transformers_cycles-10_20260922_181421_566264_s13_3c77a5d6_5539a8,completed,,validation,False,g3_imdb_roberta_base_transformers_cycles-10,stanfordnlp/imdb,plain_text,FacebookAI/roberta-base,transformers,13,fixed_promptillery,fixed_promptillery,42aa62de56d4,f67e79c805c6e0ccee12ebfe8e966cc99ff9432243049fce571809c7ff414af7,g3_imdb_roberta_base_transformers_cycles-10,accuracy,max,2,0.935,0,0.915,9,0.925,test,accuracy,0.9248,,,,,,,0.924986826375,0.924986826375,0.924986826375,20000000,,288,0,34961,15373,50334,0.19290599999999994,0,0,0,0,0,34961,15373,50334,34961,15373,50334,10,10,10,0,9,9,0,0,0,0.7718616013560674
out/g3/ablation_g3_imdb_roberta_base_transformers_20260922_180433/g3_imdb_roberta_base_transformers_cycles-1_20260922_180433_516432_s13_5e4982cf_1b56c0,g3_imdb_roberta_base_transformers_cycles-1_20260922_180433_516432_s13_5e4982cf_1b56c0,completed,,validation,False,g3_imdb_roberta_base_transformers_cycles-1,stanfordnlp/imdb,plain_text,FacebookAI/roberta-base,transformers,13,fixed_promptillery,fixed_promptillery,42aa62de56d4,d7181677f85e539311275932bf4056106b685f67780a26e1eee6229e14de440e,g3_imdb_roberta_base_transformers_cycles-1,accuracy,max,0,0.915,0,0.915,0,0.915,test,accuracy,0.92884,,,,,,,0.915,0.915,0.915,20000000,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,
out/g3/ablation_g3_imdb_roberta_base_transformers_20260922_180433/g3_imdb_roberta_base_transformers_cycles-5_20260922_180716_262657_s13_e19de3d7_d88cbb,g3_imdb_roberta_base_transformers_cycles-5_20260922_180716_262657_s13_e19de3d7_d88cbb,completed,,validation,False,g3_imdb_roberta_base_transformers_cycles-5,stanfordnlp/imdb,plain_text,FacebookAI/roberta-base,transformers,13,fixed_promptillery,fixed_promptillery,42aa62de56d4,739f5e266ddc9e1feeebafe3af89430395defb528e7fc8417fbc7747101bb34c,g3_imdb_roberta_base_transformers_cycles-5,accuracy,max,3,0.94,0,0.91,4,0.93,test,accuracy,0.9288,,,,,,,0.9300035252500002,0.9300035252500002,0.9300035252500002,20000000,,128,0,17509,6557,24066,0.087474,0,0,0,0,0,17509,6557,24066,17509,6557,24066,5,5,5,0,4,4,0,0,0,0.7528288543140028
out/g3/ablation_g3_yahoo_roberta_base_transformers_20260922_180821/g3_yahoo_roberta_base_transformers_cycles-10_20260922_181830_599884_s13_a3e5bbf6_6786e8,g3_yahoo_roberta_base_transformers_cycles-10_20260922_181830_599884_s13_a3e5bbf6_6786e8,completed,,validation,False,g3_yahoo_roberta_base_transformers_cycles-10,json,default,FacebookAI/roberta-base,transformers,13,fixed_promptillery,fixed_promptillery,42aa62de56d4,02a2f1446cb1c4a2104f8c9dd05847b0802c30480fcd14c18ee91a73c14f723e,g3_yahoo_roberta_base_transformers_cycles-10,accuracy,max,7,0.69,0,0.545,9,0.655,test,accuracy,0.6511,,,,,,,0.65499384025,0.65499384025,0.65499384025,20000000,,288,0,19404,6702,26106,0.09242399999999999,0,0,0,0,0,19404,6702,26106,19404,6702,26106,10,10,10,0,9,9,0,0,0,0.48647783645383263
