run_dir,run_id,run_status,control_name,selection_split,paper_mode,task_name,dataset,dataset_subset,student_model,student_type,seed,policy_name,policy_family,action_space_id,same_count_config_hash,experiment,metric,mode,best_cycle,best_metric,seed_baseline_cycle,seed_baseline_metric,final_cycle,final_metric,heldout_split,heldout_metric_name,heldout_metric,canonical_label_count,observed_gold_label_count,heldout_canonical_label_count,heldout_observed_gold_label_count,final_teacher_fidelity,heldout_teacher_fidelity,cycle_quality_cost_auc,online_acquisition_quality_cost_auc,total_teacher_quality_cost_auc,token_budget,synthetic_record_budget,final_synthetic_count,token_budget_overage,teacher_input_tokens,teacher_output_tokens,teacher_total_tokens,estimated_cost,seed_materialization_manifest_count,seed_usage_estimated_records,seed_teacher_input_tokens,seed_teacher_output_tokens,seed_teacher_total_tokens,online_teacher_input_tokens,online_teacher_output_tokens,online_teacher_total_tokens,total_teacher_input_tokens,total_teacher_output_tokens,total_teacher_total_tokens,cycles_completed,expected_cycles,policy_decision_count,policy_stop_count,teacher_attempt_count,teacher_success_count,teacher_failure_count,teacher_masked_count,teacher_budget_violation_count,max_realized_over_predicted
out/g3/ablation_g3_agnews_ettin_encoder_w10_20260922_185441/g3_agnews_ettin_encoder_w10_cycles-10_20260922_190817_779587_s13_f10d9398_bf3f55,g3_agnews_ettin_encoder_w10_cycles-10_20260922_190817_779587_s13_f10d9398_bf3f55,completed,,validation,False,g3_agnews_ettin_encoder_w10_cycles-10,SetFit/ag_news,default,jhu-clsp/ettin-encoder-150m,transformers,13,fixed_promptillery,fixed_promptillery,42aa62de56d4,6da00e1f0f2d097bb7f865a4898be66e90666cbcfa41e69dc8798caf47808ef1,g3_agnews_ettin_encoder_w10_cycles-10,accuracy,max,3,0.89,0,0.845,9,0.86,test,accuracy,0.8769736842105263,,,,,,,0.8600025393749999,0.8600025393749999,0.8600025393749999,20000000,,288,0,12133,11190,23323,0.113786,0,0,0,0,0,12133,11190,23323,12133,11190,23323,10,10,10,0,9,9,0,0,0,0.5639883501798869
out/g3/ablation_g3_agnews_ettin_encoder_w10_20260922_185441/g3_agnews_ettin_encoder_w10_cycles-1_20260922_185441_705126_s13_3d0e4970_71f0d7,g3_agnews_ettin_encoder_w10_cycles-1_20260922_185441_705126_s13_3d0e4970_71f0d7,completed,,validation,False,g3_agnews_ettin_encoder_w10_cycles-1,SetFit/ag_news,default,jhu-clsp/ettin-encoder-150m,transformers,13,fixed_promptillery,fixed_promptillery,42aa62de56d4,b9b958387436f32134b78b4010d9d6b4a6978f2d1fe9152c67f49e0b998693d6,g3_agnews_ettin_encoder_w10_cycles-1,accuracy,max,0,0.85,0,0.85,0,0.85,test,accuracy,0.8567105263157895,,,,,,,0.85,0.85,0.85,20000000,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,
out/g3/ablation_g3_agnews_ettin_encoder_w10_20260922_185441/g3_agnews_ettin_encoder_w10_cycles-5_20260922_190417_011076_s13_ab263998_acbaa1,g3_agnews_ettin_encoder_w10_cycles-5_20260922_190417_011076_s13_ab263998_acbaa1,completed,,validation,False,g3_agnews_ettin_encoder_w10_cycles-5,SetFit/ag_news,default,jhu-clsp/ettin-encoder-150m,transformers,13,fixed_promptillery,fixed_promptillery,42aa62de56d4,572fcbd35bc68affe91a8646d2de87859503ebbe2767a498b1bf69836ee74fc0,g3_agnews_ettin_encoder_w10_cycles-5,accuracy,max,2,0.875,0,0.855,4,0.84,test,accuracy,0.875,,,,,,,0.840006902375,0.840006902375,0.840006902375,20000000,,128,0,6123,5101,11224,0.053054,0,0,0,0,0,6123,5101,11224,6123,5101,11224,5,5,5,0,4,4,0,0,0,0.5451817860924815
out/g3/ablation_g3_sst2_ettin_encoder_w10_20260922_185441/g3_sst2_ettin_encoder_w10_cycles-10_20260922_190537_563563_s13_89d90114_7fe580,g3_sst2_ettin_encoder_w10_cycles-10_20260922_190537_563563_s13_89d90114_7fe580,completed,,validation,False,g3_sst2_ettin_encoder_w10_cycles-10,SetFit/sst2,default,jhu-clsp/ettin-encoder-150m,transformers,13,fixed_promptillery,fixed_promptillery,42aa62de56d4,8b27b9f6e513cbfd7d2e0bba0623db397988aa7670ca224e96ba2e224b60e1ae,g3_sst2_ettin_encoder_w10_cycles-10,accuracy,max,9,0.93,0,0.835,9,0.93,test,accuracy,0.9055464030752334,,,,,,,0.929970519375,0.929970519375,0.929970519375,20000000,,288,0,7429,8211,15640,0.080546,0,0,0,0,0,7429,8211,15640,7429,8211,15640,10,10,10,0,9,9,0,0,0,0.4619907601847963
out/g3/ablation_g3_sst2_ettin_encoder_w10_20260922_185441/g3_sst2_ettin_encoder_w10_cycles-1_20260922_185441_312383_s13_2cacf7fa_959dd0,g3_sst2_ettin_encoder_w10_cycles-1_20260922_185441_312383_s13_2cacf7fa_959dd0,completed,,validation,False,g3_sst2_ettin_encoder_w10_cycles-1,SetFit/sst2,default,jhu-clsp/ettin-encoder-150m,transformers,13,fixed_promptillery,fixed_promptillery,42aa62de56d4,e2542e80b2d70014dbb8029743512449038a1724bf88b6ec852213221a68305e,g3_sst2_ettin_encoder_w10_cycles-1,accuracy,max,0,0.83,0,0.83,0,0.83,test,accuracy,0.8121911037891268,,,,,,,0.83,0.83,0.83,20000000,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,
out/g3/ablation_g3_sst2_ettin_encoder_w10_20260922_185441/g3_sst2_ettin_encoder_w10_cycles-5_20260922_190345_942544_s13_32995e99_d0e9ba,g3_sst2_ettin_encoder_w10_cycles-5_20260922_190345_942544_s13_32995e99_d0e9ba,completed,,validation,False,g3_sst2_ettin_encoder_w10_cycles-5,SetFit/sst2,default,jhu-clsp/ettin-encoder-150m,transformers,13,fixed_promptillery,fixed_promptillery,42aa62de56d4,90cd67b23a279468157ffc6c8528798f8af8dd9946b93d8e29cf7414b5c47af9,g3_sst2_ettin_encoder_w10_cycles-5,accuracy,max,1,0.915,0,0.82,4,0.905,test,accuracy,0.8907193849533224,,,,,,,0.9049946901249999,0.9049946901249999,0.9049946901249999,20000000,,127,0,3189,3508,6697,0.034442,0,0,0,0,0,3189,3508,6697,3189,3508,6697,5,5,5,0,4,4,0,0,0,0.37528795811518323
out/g3/ablation_g3_imdb_ettin_encoder_w10_bs16_20260922_191655/g3_imdb_ettin_encoder_w10_bs16_cycles-10_20260922_201756_134030_s13_8aeb56cf_005a9c,g3_imdb_ettin_encoder_w10_bs16_cycles-10_20260922_201756_134030_s13_8aeb56cf_005a9c,completed,,validation,False,g3_imdb_ettin_encoder_w10_bs16_cycles-10,stanfordnlp/imdb,plain_text,jhu-clsp/ettin-encoder-150m,transformers,13,fixed_promptillery,fixed_promptillery,42aa62de56d4,6698d1fd41dc1ac5dab4ca2b301bf54b6b760ac6c2b18d4c9f5c468f6b00f551,g3_imdb_ettin_encoder_w10_bs16_cycles-10,accuracy,max,6,0.93,0,0.88,9,0.905,test,accuracy,0.93328,,,,,,,0.9049926711249999,0.9049926711249999,0.9049926711249999,20000000,,288,0,34041,14546,48587,0.18445,0,0,0,0,0,34041,14546,48587,34041,14546,48587,10,10,10,0,9,9,0,0,0,0.7765657325559526
out/g3/ablation_g3_imdb_ettin_encoder_w10_bs16_20260922_191655/g3_imdb_ettin_encoder_w10_bs16_cycles-1_20260922_191655_864365_s13_8c5c30f0_530dda,g3_imdb_ettin_encoder_w10_bs16_cycles-1_20260922_191655_864365_s13_8c5c30f0_530dda,completed,,validation,False,g3_imdb_ettin_encoder_w10_bs16_cycles-1,stanfordnlp/imdb,plain_text,jhu-clsp/ettin-encoder-150m,transformers,13,fixed_promptillery,fixed_promptillery,42aa62de56d4,b2a821750d8f89ba476b14e51f901b5d08ccf4ba800924c671e4c91049a4eba5,g3_imdb_ettin_encoder_w10_bs16_cycles-1,accuracy,max,0,0.86,0,0.86,0,0.86,test,accuracy,0.88908,,,,,,,0.86,0.86,0.86,20000000,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,
out/g3/ablation_g3_imdb_ettin_encoder_w10_bs16_20260922_191655/g3_imdb_ettin_encoder_w10_bs16_cycles-5_20260922_193414_551609_s13_5a40efee_4f5e92,g3_imdb_ettin_encoder_w10_bs16_cycles-5_20260922_193414_551609_s13_5a40efee_4f5e92,completed,,validation,False,g3_imdb_ettin_encoder_w10_bs16_cycles-5,stanfordnlp/imdb,plain_text,jhu-clsp/ettin-encoder-150m,transformers,13,fixed_promptillery,fixed_promptillery,42aa62de56d4,fc2c13dd37fbfd5c87ea27e30834d3ffa3f5dcd4f778dcde017ce1463e9a5ba6,g3_imdb_ettin_encoder_w10_bs16_cycles-5,accuracy,max,4,0.9,0,0.865,4,0.9,test,accuracy,0.917,,,,,,,0.899970355875,0.899970355875,0.899970355875,20000000,,128,0,20588,6634,27222,0.094248,0,0,0,0,0,20588,6634,27222,20588,6634,27222,5,5,5,0,4,4,0,0,0,0.7905851297844259
out/g3/ablation_g3_yahoo_ettin_encoder_w10_20260922_191653/g3_yahoo_ettin_encoder_w10_cycles-10_20260922_193507_079158_s13_d1989027_8ef606,g3_yahoo_ettin_encoder_w10_cycles-10_20260922_193507_079158_s13_d1989027_8ef606,completed,,validation,False,g3_yahoo_ettin_encoder_w10_cycles-10,json,default,jhu-clsp/ettin-encoder-150m,transformers,13,fixed_promptillery,fixed_promptillery,42aa62de56d4,cf030e2e295a81d108c7771f13c78b6aef8faf66932a63602ac9f00f3439c2a7,g3_yahoo_ettin_encoder_w10_cycles-10,accuracy,max,8,0.55,0,0.395,9,0.545,test,accuracy,0.5826333333333333,,,,,,,0.544974094875,0.544974094875,0.544974094875,20000000,,288,0,16233,6677,22910,0.085882,0,0,0,0,0,16233,6677,22910,16233,6677,22910,10,10,10,0,9,9,0,0,0,0.48300890795117124
